Content,Video title,Video publish time,Duration,Views,Watch time (hours),Impressions,Impressions click-through rate (%)
Total,,,,6894,14.6642,7493,3.14
zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,2087,2.879,57,22.81
Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,407,0.5432,178,1.69
WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,406,0.434,9,55.56
OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,348,0.8443,159,10.06
wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,332,0.6713,218,5.5
FQ_HcEqkabg,tape fragment / Socotra 5°N 12°E — classified recording #1992 #ordinarybrokensounds,"Nov 6, 2025",18,297,0.5788,122,7.38
U7mTDbolEH0,driving and crying and driving | garagebanned,"Oct 31, 2025",20,279,0.5366,149,9.4
xnP7T0RzyxU,When I Was Dead — the return of el ligardo,"Oct 16, 2025",15,267,0.362,199,4.02
pvwIxXAJQTQ,nature doesn’t always heal. sometimes it bites back,"Nov 9, 2025",18,250,0.3943,82,12.2
HnyVtdlwQT8,float | garagebanned,"Nov 3, 2025",17,241,0.5397,103,11.65
bpNaHTbbiUY,suit made of glass - lidro larâgos,"Oct 1, 2025",9,231,0.1908,397,2.02
2GffF0fHCsk,lightning breaks over the pyramid as the band finds its voltage,"Nov 7, 2025",20,230,0.4582,112,8.04
bFVIvcMyVGY,anyone for chess? (new years eve 1999) | the return of el ligardo,"Oct 21, 2025",60,207,0.7779,262,4.58
KQ3lftoR4sU,lidro larágos — can’t even taste the poison,"Oct 19, 2025",19,202,0.4128,213,5.16
bmPvg3UkURs,"emotionally insane – the return of el ligardo | recorded in a warship, 1995","Oct 23, 2025",19,154,0.3185,164,6.71
Cqd6Jkh5OPA,Wheatfield | The Return of El Ligardo - live 🫣  #ordinarybrokensounds #thereturnofelligardo #shorts,"Oct 28, 2025",26,134,0.417,202,3.96
