Date,Content,Video title,Video publish time,Duration,Views
2025-10-15,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-16,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-17,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-18,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-19,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-20,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-21,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-22,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-23,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-24,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-25,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-26,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-27,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-28,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-29,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-30,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-31,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-11-01,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,98
2025-11-02,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,136
2025-11-03,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,64
2025-11-04,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,15
